timestamp;session_duration;calm_probability;focus_probability;delta_CP3;delta_C3;delta_F5;delta_PO3;delta_PO4;delta_F6;delta_C4;delta_CP4;theta_CP3;theta_C3;theta_F5;theta_PO3;theta_PO4;theta_F6;theta_C4;theta_CP4;alpha_CP3;alpha_C3;alpha_F5;alpha_PO3;alpha_PO4;alpha_F6;alpha_C4;alpha_CP4;beta_CP3;beta_C3;beta_F5;beta_PO3;beta_PO4;beta_F6;beta_C4;beta_CP4;gamma_CP3;gamma_C3;gamma_F5;gamma_PO3;gamma_PO4;gamma_F6;gamma_C4;gamma_CP4;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-07-17T14:44:34.163127;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.816;0.65;-0.84;0.345;-0.201;-1.668;10.802;7.931
2025-07-17T14:44:34.165127;0.01;;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;0.816;0.65;-0.84;0.345;-0.201;-1.668;10.802;7.931
2025-07-17T14:44:34.167639;0.01;;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;-1.228;0.782;-0.597;-1.532;0.138;-0.695;0.736;0.323
2025-07-17T14:44:34.220643;0.07;;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;1.953;-2.101;-0.716;-0.035;2.051;-0.857;-1.101;0.854
2025-07-17T14:44:34.221639;0.07;;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;1.221;-0.193;1.96;-0.751;-1.681;-0.025;-3.103;-1.765
2025-07-17T14:44:34.274856;0.12;;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;-2.508;3.583;-0.189;2.022;1.129;-0.457;-0.195;-1.013
2025-07-17T14:44:34.334688;0.18;;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;0.286;-4.079;0.06;-1.721;-0.41;3.881;1.021;2.67
2025-07-17T14:44:34.386833;0.23;0.5120248305379709;;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;0.286;-4.079;0.06;-1.721;-0.41;3.881;1.021;2.67
2025-07-17T14:44:34.546671;0.39;0.5120248305379709;0.07117039599684086;0.784;1.053;0.471;0.426;0.559;0.458;3.193;1.824;1.133;1.126;0.548;0.773;1.063;0.527;1.895;1.238;0.785;0.496;0.65;1.824;1.873;1.167;3.177;2.673;0.894;0.909;0.671;1.634;1.261;1.064;0.905;1.211;0.382;0.374;0.258;0.457;0.308;0.494;0.377;0.391;0.286;-4.079;0.06;-1.721;-0.41;3.881;1.021;2.67
2025-07-17T14:44:34.652073;0.5;0.5120248305379709;0.07117039599684086;1.019;0.757;0.239;0.702;0.531;1.545;0.653;0.764;1.145;1.137;0.286;1.868;0.626;1.426;0.851;1.932;1.023;1.2;0.55;1.89;1.1;1.349;1.742;2.428;1.014;0.97;0.857;1.411;1.192;1.544;1.33;1.393;0.486;0.266;0.235;0.335;0.353;0.439;0.403;0.361;0.286;-4.079;0.06;-1.721;-0.41;3.881;1.021;2.67
