timestamp;session_duration;calm_probability;focus_probability;delta_CP3;delta_C3;delta_F5;delta_PO3;delta_PO4;delta_F6;delta_C4;delta_CP4;theta_CP3;theta_C3;theta_F5;theta_PO3;theta_PO4;theta_F6;theta_C4;theta_CP4;alpha_CP3;alpha_C3;alpha_F5;alpha_PO3;alpha_PO4;alpha_F6;alpha_C4;alpha_CP4;beta_CP3;beta_C3;beta_F5;beta_PO3;beta_PO4;beta_F6;beta_C4;beta_CP4;gamma_CP3;gamma_C3;gamma_F5;gamma_PO3;gamma_PO4;gamma_F6;gamma_C4;gamma_CP4;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-08-07T10:45:01.603733;0.59;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;-6.136;-48.497;-9.753;-9.207;-8.413;-1.57;-13.444;-4.417
2025-08-07T10:45:01.606736;0.59;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;-1.293;21.476;-0.948;1.188;-0.836;-11.573;-1.449;2.483
2025-08-07T10:45:01.661356;0.65;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;4.504;39.259;5.719;9.631;5.688;-3.866;10.18;1.458
2025-08-07T10:45:01.716375;0.7;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;4.298;14.779;6.534;3.867;0.749;-0.192;5.821;1.184
2025-08-07T10:45:01.771837;0.76;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;2.337;0.561;1.14;-6.27;-3.766;1.279;-1.257;-1.689
2025-08-07T10:45:01.824628;0.81;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;1.239;-33.256;-3.006;2.349;-0.009;4.321;-2.433;-1.726
2025-08-07T10:45:01.827905;0.81;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;-1.014;-2.969;-2.405;-6.73;5.201;3.591;1.758;5.227
2025-08-07T10:45:01.880737;0.87;;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;0.482;5.143;5.534;3.24;4.877;4.371;3.319;1.698
2025-08-07T10:45:01.934140;0.92;0.49768864938795476;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;0.482;5.143;5.534;3.24;4.877;4.371;3.319;1.698
2025-08-07T10:45:01.988895;0.97;0.49768864938795476;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;-1.297;4.194;5.472;6.106;-1.67;2.06;3.361;2.074
