timestamp;session_duration;calm_probability;focus_probability;delta_CP3;delta_C3;delta_F5;delta_PO3;delta_PO4;delta_F6;delta_C4;delta_CP4;theta_CP3;theta_C3;theta_F5;theta_PO3;theta_PO4;theta_F6;theta_C4;theta_CP4;alpha_CP3;alpha_C3;alpha_F5;alpha_PO3;alpha_PO4;alpha_F6;alpha_C4;alpha_CP4;beta_CP3;beta_C3;beta_F5;beta_PO3;beta_PO4;beta_F6;beta_C4;beta_CP4;gamma_CP3;gamma_C3;gamma_F5;gamma_PO3;gamma_PO4;gamma_F6;gamma_C4;gamma_CP4;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-08-01T11:58:09.154142;0.02;;;6.644;11.669;25.93;4.437;2.758;34.307;3.722;5.25;3.308;10.004;19.457;3.402;2.497;25.558;2.762;3.839;2.9;3.304;18.03;0.778;1.602;10.038;0.884;1.784;0.937;2.103;7.56;1.045;0.902;2.898;0.674;1.703;0.277;0.334;1.068;0.2;0.185;0.984;0.162;0.32;;;;;;;;
2025-08-01T11:58:09.160665;0.03;;;6.644;11.669;25.93;4.437;2.758;34.307;3.722;5.25;3.308;10.004;19.457;3.402;2.497;25.558;2.762;3.839;2.9;3.304;18.03;0.778;1.602;10.038;0.884;1.784;0.937;2.103;7.56;1.045;0.902;2.898;0.674;1.703;0.277;0.334;1.068;0.2;0.185;0.984;0.162;0.32;14.757;16.021;33.058;8.363;6.871;86.158;7.493;12.419
2025-08-01T11:58:09.215557;0.08;;;6.644;11.669;25.93;4.437;2.758;34.307;3.722;5.25;3.308;10.004;19.457;3.402;2.497;25.558;2.762;3.839;2.9;3.304;18.03;0.778;1.602;10.038;0.884;1.784;0.937;2.103;7.56;1.045;0.902;2.898;0.674;1.703;0.277;0.334;1.068;0.2;0.185;0.984;0.162;0.32;-2.032;-28.54;51.108;5.399;-1.163;-11.568;3.111;-7.227
2025-08-01T11:58:09.278280;0.14;;;6.644;11.669;25.93;4.437;2.758;34.307;3.722;5.25;3.308;10.004;19.457;3.402;2.497;25.558;2.762;3.839;2.9;3.304;18.03;0.778;1.602;10.038;0.884;1.784;0.937;2.103;7.56;1.045;0.902;2.898;0.674;1.703;0.277;0.334;1.068;0.2;0.185;0.984;0.162;0.32;-5.578;-23.531;42.074;-7.064;-2.901;-50.261;-6.751;-9.55
2025-08-01T11:58:09.333004;0.2;;;6.644;11.669;25.93;4.437;2.758;34.307;3.722;5.25;3.308;10.004;19.457;3.402;2.497;25.558;2.762;3.839;2.9;3.304;18.03;0.778;1.602;10.038;0.884;1.784;0.937;2.103;7.56;1.045;0.902;2.898;0.674;1.703;0.277;0.334;1.068;0.2;0.185;0.984;0.162;0.32;-11.49;-5.748;-26.01;-4.394;-3.153;-35.488;-4.258;-5.33
2025-08-01T11:58:09.389696;0.25;;;6.644;11.669;25.93;4.437;2.758;34.307;3.722;5.25;3.308;10.004;19.457;3.402;2.497;25.558;2.762;3.839;2.9;3.304;18.03;0.778;1.602;10.038;0.884;1.784;0.937;2.103;7.56;1.045;0.902;2.898;0.674;1.703;0.277;0.334;1.068;0.2;0.185;0.984;0.162;0.32;-7.27;-3.851;-54.969;-13.799;-4.935;-14.807;-1.556;0.148
2025-08-01T11:58:09.660860;0.53;;;2.597;3.982;29.149;6.053;3.057;6.646;1.916;2.009;2.18;2.703;42.809;4.159;1.915;4.442;2.533;1.715;3.113;4.82;30.794;2.83;1.95;5.173;2.763;1.651;1.471;1.996;13.328;1.763;1.019;2.514;0.873;1.456;0.201;0.517;1.154;0.151;0.252;0.484;0.209;0.234;-7.27;-3.851;-54.969;-13.799;-4.935;-14.807;-1.556;0.148
2025-08-01T11:58:09.732118;0.6;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;-7.27;-3.851;-54.969;-13.799;-4.935;-14.807;-1.556;0.148
2025-08-01T11:58:09.746187;0.61;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;5.455;8.623;37.753;3.584;2.997;5.89;-0.975;-1.835
2025-08-01T11:58:09.801613;0.67;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;-1.233;4.621;32.088;6.78;1.666;1.792;-1.618;3.603
2025-08-01T11:58:09.857415;0.72;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;8.857;6.89;-139.209;10.983;10.129;17.477;9.51;7.109
2025-08-01T11:58:09.911455;0.78;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;-1.686;-28.825;117.825;-5.235;-6.761;-13.133;-3.268;1.867
2025-08-01T11:58:09.965844;0.83;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;-4.907;9.272;151.727;-7.614;-10.714;18.78;-10.141;-9.158
2025-08-01T11:58:09.971159;0.84;;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;-4.937;22.923;27.598;-3.583;-3.819;-4.743;-4.475;-7.912
2025-08-01T11:58:10.073896;0.94;0.39053986866690615;;3.304;13.583;94.243;4.826;6.169;4.224;6.314;4.562;4.482;7.805;51.26;4.871;5.847;6.054;6.374;5.822;2.904;7.936;45.464;2.852;2.922;12.896;2.763;3.13;1.601;2.555;12.149;0.81;1.155;3.343;0.492;0.786;0.233;0.619;3.319;0.164;0.203;0.675;0.132;0.257;-4.937;22.923;27.598;-3.583;-3.819;-4.743;-4.475;-7.912
2025-08-01T11:58:10.077822;0.94;0.39053986866690615;;2.159;6.112;86.284;1.371;0.874;9.099;1.435;3.68;2.561;5.048;80.462;2.816;2.269;7.497;3.308;3.659;1.018;2.817;36.096;1.977;1.705;6.641;1.855;0.777;1.346;1.972;9.634;0.79;1.369;3.07;0.731;1.058;0.244;0.634;3.34;0.197;0.255;0.572;0.201;0.321;-4.937;22.923;27.598;-3.583;-3.819;-4.743;-4.475;-7.912
2025-08-01T11:58:10.134410;1.0;0.39053986866690615;;2.159;6.112;86.284;1.371;0.874;9.099;1.435;3.68;2.561;5.048;80.462;2.816;2.269;7.497;3.308;3.659;1.018;2.817;36.096;1.977;1.705;6.641;1.855;0.777;1.346;1.972;9.634;0.79;1.369;3.07;0.731;1.058;0.244;0.634;3.34;0.197;0.255;0.572;0.201;0.321;9.052;13.014;-213.352;9.834;13.21;-2.03;14.964;9.584
