timestamp;session_duration;calm_probability;focus_probability;delta;theta;alpha;beta;gamma;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-07-03T12:00:34.761740;1.46;0.4122141864400245;0.2171668746691753;7.739;9.843;8.712;4.467;0.8;15.814;5.208;-1.77;82.495;32.221;1.005;103.369;3.15
2025-07-03T12:00:34.825469;1.53;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;15.814;5.208;-1.77;82.495;32.221;1.005;103.369;3.15
2025-07-03T12:00:34.827565;1.53;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-5.673;-4.381;2.488;6.954;-4.946;0.128;0.543;-1.799
2025-07-03T12:00:34.880022;1.58;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;0.021;-3.112;1.813;-19.408;-12.67;5.428;-52.578;2.401
2025-07-03T12:00:34.932376;1.64;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-2.507;-0.474;-1.548;-5.721;1.457;-3.374;-24.964;-2.924
2025-07-03T12:00:34.984715;1.69;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-2.507;-0.474;-1.548;-5.721;1.457;-3.374;-24.964;-2.924
2025-07-03T12:00:34.985783;1.69;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;0.509;5.921;-3.016;-9.47;-0.812;0.46;11.034;0.21
2025-07-03T12:00:34.991994;1.7;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-1.482;-2.143;1.756;-0.774;0.186;-1.276;17.962;-6.091
2025-07-03T12:00:35.044025;1.75;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-1.157;0.315;3.594;2.964;-3.629;-0.315;4.062;7.198
2025-07-03T12:00:35.095968;1.8;0.22973311001475383;0.2592102312237826;8.662;6.631;2.704;2.085;0.6;-1.157;0.315;3.594;2.964;-3.629;-0.315;4.062;7.198
2025-07-03T12:00:35.097976;1.8;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;-1.157;0.315;3.594;2.964;-3.629;-0.315;4.062;7.198
2025-07-03T12:00:35.100974;1.8;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;4.603;1.132;-1.001;-0.768;-0.003;-0.858;-10.478;3.591
2025-07-03T12:00:35.152455;1.86;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;-3.616;-3.112;-2.359;7.101;6.009;-1.603;-12.066;-6.264
2025-07-03T12:00:35.204816;1.91;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;2.572;0.961;-1.562;18.024;11.138;0.708;27.505;0.353
2025-07-03T12:00:35.208760;1.91;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;0.818;-0.55;-0.27;18.336;-3.726;4.077;14.089;-1.411
2025-07-03T12:00:35.312591;2.02;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;-6.124;2.255;9.907;-46.286;-19.332;0.349;-41.693;4.57
2025-07-03T12:00:35.313579;2.02;0.22973311001475383;0.2592102312237826;4.077;4.811;5.196;3.57;0.508;-6.124;2.255;9.907;-46.286;-19.332;0.349;-41.693;4.57
2025-07-03T12:00:35.317628;2.02;0.22973311001475383;0.2592102312237826;4.077;4.811;5.196;3.57;0.508;2.337;-2.199;-6.019;9.164;7.471;-3.848;19.356;-1.36
2025-07-03T12:00:35.369649;2.07;0.22973311001475383;0.2592102312237826;4.077;4.811;5.196;3.57;0.508;-4.452;2.562;0.932;-76.726;-26.34;-0.085;-86.197;6.74
2025-07-03T12:00:35.422162;2.13;0.22973311001475383;0.2592102312237826;4.077;4.811;5.196;3.57;0.508;5.31;0.711;-5.317;16.868;16.57;-0.391;23.278;-6.216
2025-07-03T12:00:35.475256;2.18;0.22973311001475383;0.2592102312237826;4.077;4.811;5.196;3.57;0.508;-0.05;-3.009;-0.528;32.14;14.496;1.084;19.823;-1.577
2025-07-03T12:00:35.527419;2.23;0.22973311001475383;0.2592102312237826;4.077;4.811;5.196;3.57;0.508;-0.442;-2.34;1.381;26.46;6.525;1.569;30.271;-2.485
2025-07-03T12:00:35.632384;2.34;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;-0.442;-2.34;1.381;26.46;6.525;1.569;30.271;-2.485
2025-07-03T12:00:35.634381;2.34;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;9.513;5.044;2.257;49.283;11.385;3.535;88.825;0.997
2025-07-03T12:00:35.635386;2.34;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;-1.852;-0.294;2.706;18.88;-1.129;-2.47;21.95;1.138
2025-07-03T12:00:35.637387;2.34;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;-4.362;-2.637;-0.009;-38.676;-18.049;-1.142;-44.875;2.407
2025-07-03T12:00:35.740136;2.44;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;-3.627;-2.461;-3.339;-34.645;-7.102;-2.779;-63.641;-0.886
2025-07-03T12:00:35.741135;2.44;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;-1.164;3.56;-1.669;-14.652;2.202;-2.691;-41.666;-3.26
2025-07-03T12:00:35.793259;2.5;0.22973311001475383;0.2592102312237826;3.933;3.786;3.035;3.165;0.877;4.976;1.517;1.725;12.565;8.052;4.618;-1.025;2.086
2025-07-03T12:00:35.794259;2.5;0.22973311001475383;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;4.976;1.517;1.725;12.565;8.052;4.618;-1.025;2.086
2025-07-03T12:00:35.852686;2.56;0.22973311001475383;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;-4.788;-0.911;0.284;9.339;-2.123;0.601;11.054;0.946
2025-07-03T12:00:35.905594;2.61;0.22973311001475383;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;1.12;-4.101;0.383;1.972;-2.118;-1.563;38.502;-1.76
2025-07-03T12:00:35.908585;2.61;0.22973311001475383;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;1.476;4.685;2.592;1.936;-3.409;5.33;17.9;3.673
2025-07-03T12:00:35.989590;2.69;0.29178548838753426;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;1.476;4.685;2.592;1.936;-3.409;5.33;17.9;3.673
2025-07-03T12:00:36.050469;2.75;0.29178548838753426;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;1.118;0.806;-1.15;-14.599;-0.999;-2.353;-25.637;-0.929
2025-07-03T12:00:36.103139;2.81;0.29178548838753426;0.2592102312237826;6.501;5.52;3.211;1.988;0.972;3.482;-1.909;-0.17;-3.111;2.585;0.596;-6.235;1.099
2025-07-03T12:00:36.156774;2.86;0.29178548838753426;0.28174688537635006;6.501;5.52;3.211;1.988;0.972;3.482;-1.909;-0.17;-3.111;2.585;0.596;-6.235;1.099
2025-07-03T12:00:36.179775;2.88;0.29178548838753426;0.28174688537635006;6.555;5.312;5.592;4.705;0.792;3.482;-1.909;-0.17;-3.111;2.585;0.596;-6.235;1.099
2025-07-03T12:00:36.181775;2.88;0.29178548838753426;0.28174688537635006;6.555;5.312;5.592;4.705;0.792;-8.0;0.71;-2.599;1.718;0.517;-0.94;22.82;-2.925
2025-07-03T12:00:36.234483;2.94;0.29178548838753426;0.28174688537635006;6.555;5.312;5.592;4.705;0.792;3.483;-1.947;-2.023;10.451;5.684;-2.359;26.383;0.882
2025-07-03T12:00:36.236468;2.94;0.29178548838753426;0.28174688537635006;6.555;5.312;5.592;4.705;0.792;2.872;2.576;3.367;11.381;1.569;0.038;19.332;-0.029
2025-07-03T12:00:36.289724;2.99;0.29178548838753426;0.28174688537635006;6.555;5.312;5.592;4.705;0.792;-1.258;-0.705;1.218;-5.932;-6.594;-0.751;-33.565;1.578
2025-07-03T12:00:36.378921;3.08;0.29178548838753426;0.28174688537635006;6.555;5.312;5.592;4.705;0.792;-5.402;-1.698;-0.011;-31.573;-10.136;-1.629;-77.239;-1.863
2025-07-03T12:00:36.385914;3.09;0.29178548838753426;0.28174688537635006;9.672;9.109;5.339;3.462;0.536;-5.402;-1.698;-0.011;-31.573;-10.136;-1.629;-77.239;-1.863
2025-07-03T12:00:36.479937;3.18;0.29178548838753426;0.28174688537635006;9.672;9.109;5.339;3.462;0.536;5.953;1.116;-2.024;1.563;8.946;4.193;-6.566;1.024
2025-07-03T12:00:36.548994;3.25;0.29178548838753426;0.28174688537635006;9.672;9.109;5.339;3.462;0.536;-0.221;1.136;0.892;26.342;6.631;2.241;41.413;-0.999
2025-07-03T12:00:36.605288;3.31;0.29178548838753426;0.28174688537635006;6.348;6.704;5.102;3.708;0.531;-0.221;1.136;0.892;26.342;6.631;2.241;41.413;-0.999
