timestamp;session_duration;calm_probability;focus_probability;delta_CP3;delta_C3;delta_F5;delta_PO3;delta_PO4;delta_F6;delta_C4;delta_CP4;theta_CP3;theta_C3;theta_F5;theta_PO3;theta_PO4;theta_F6;theta_C4;theta_CP4;alpha_CP3;alpha_C3;alpha_F5;alpha_PO3;alpha_PO4;alpha_F6;alpha_C4;alpha_CP4;beta_CP3;beta_C3;beta_F5;beta_PO3;beta_PO4;beta_F6;beta_C4;beta_CP4;gamma_CP3;gamma_C3;gamma_F5;gamma_PO3;gamma_PO4;gamma_F6;gamma_C4;gamma_CP4;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-08-01T11:53:24.055973;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-96.541;-158.926;-224.044;-61.409;-83.678;-215.074;-54.094;-43.443
2025-08-01T11:53:24.114182;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.579;62.553;156.73;-3.877;-17.428;45.041;-13.43;-1.892
2025-08-01T11:53:24.168114;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-104.382;-225.446;-79.959;-49.469;-92.854;-266.553;-57.378;-68.62
2025-08-01T11:53:24.277134;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137.048;298.358;363.13;70.302;83.853;331.616;69.212;69.049
2025-08-01T11:53:24.281135;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.334176;0.28;;;11.161;18.173;17.401;9.287;9.13;18.647;4.293;5.969;10.851;15.861;17.737;6.543;6.621;15.429;3.861;7.049;9.325;10.839;9.371;2.511;4.9;14.208;4.155;7.713;4.511;6.538;12.964;2.261;4.224;6.181;2.3;3.278;0.971;1.187;1.91;0.299;0.649;1.485;0.511;0.757;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.340177;0.29;;;4.244;5.829;70.652;6.265;9.091;13.968;3.702;2.272;3.874;11.46;88.24;6.634;9.881;16.826;5.772;3.27;13.513;22.959;37.944;6.693;11.003;26.159;5.354;11.02;9.282;13.219;12.379;3.341;6.074;13.958;3.134;6.26;1.07;1.226;2.559;0.443;0.757;1.585;0.488;0.792;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.393179;0.34;;;12.844;20.182;45.178;6.882;9.884;26.46;3.481;5.189;7.751;13.819;26.049;3.71;6.666;15.787;2.417;2.728;15.173;27.743;31.481;8.972;13.902;26.439;6.447;9.419;5.667;8.232;10.486;2.546;4.268;9.412;1.957;3.984;0.675;0.94;2.56;0.412;0.696;1.086;0.208;0.348;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.395177;0.34;;0.34019691369381827;12.844;20.182;45.178;6.882;9.884;26.46;3.481;5.189;7.751;13.819;26.049;3.71;6.666;15.787;2.417;2.728;15.173;27.743;31.481;8.972;13.902;26.439;6.447;9.419;5.667;8.232;10.486;2.546;4.268;9.412;1.957;3.984;0.675;0.94;2.56;0.412;0.696;1.086;0.208;0.348;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.397181;0.35;0.11825920952327952;0.34019691369381827;12.844;20.182;45.178;6.882;9.884;26.46;3.481;5.189;7.751;13.819;26.049;3.71;6.666;15.787;2.417;2.728;15.173;27.743;31.481;8.972;13.902;26.439;6.447;9.419;5.667;8.232;10.486;2.546;4.268;9.412;1.957;3.984;0.675;0.94;2.56;0.412;0.696;1.086;0.208;0.348;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.455845;0.4;0.11825920952327952;0.34019691369381827;5.682;7.292;29.938;2.937;3.609;5.978;3.655;3.585;5.753;10.044;20.638;3.81;5.924;6.862;3.886;5.164;3.204;6.201;2.572;1.579;2.014;6.832;1.911;2.319;3.223;5.307;6.278;1.63;2.499;5.039;1.216;2.037;0.306;0.476;0.389;0.673;0.798;0.626;0.297;0.455;8.155;-43.401;-76.181;1.551;3.798;-9.458;-13.547;7.927
2025-08-01T11:53:24.459351;0.41;0.11825920952327952;0.34019691369381827;5.682;7.292;29.938;2.937;3.609;5.978;3.655;3.585;5.753;10.044;20.638;3.81;5.924;6.862;3.886;5.164;3.204;6.201;2.572;1.579;2.014;6.832;1.911;2.319;3.223;5.307;6.278;1.63;2.499;5.039;1.216;2.037;0.306;0.476;0.389;0.673;0.798;0.626;0.297;0.455;62.445;104.652;97.907;44.602;56.744;145.187;40.023;42.512
2025-08-01T11:53:24.462350;0.41;0.11825920952327952;0.34019691369381827;5.682;7.292;29.938;2.937;3.609;5.978;3.655;3.585;5.753;10.044;20.638;3.81;5.924;6.862;3.886;5.164;3.204;6.201;2.572;1.579;2.014;6.832;1.911;2.319;3.223;5.307;6.278;1.63;2.499;5.039;1.216;2.037;0.306;0.476;0.389;0.673;0.798;0.626;0.297;0.455;10.761;19.097;-10.363;16.08;33.886;20.805;23.731;7.541
2025-08-01T11:53:24.521056;0.47;0.11825920952327952;0.34019691369381827;5.682;7.292;29.938;2.937;3.609;5.978;3.655;3.585;5.753;10.044;20.638;3.81;5.924;6.862;3.886;5.164;3.204;6.201;2.572;1.579;2.014;6.832;1.911;2.319;3.223;5.307;6.278;1.63;2.499;5.039;1.216;2.037;0.306;0.476;0.389;0.673;0.798;0.626;0.297;0.455;-41.181;-46.431;-135.75;-24.75;-14.646;-74.752;-9.744;-15.863
2025-08-01T11:53:24.574709;0.52;0.11825920952327952;0.34019691369381827;5.682;7.292;29.938;2.937;3.609;5.978;3.655;3.585;5.753;10.044;20.638;3.81;5.924;6.862;3.886;5.164;3.204;6.201;2.572;1.579;2.014;6.832;1.911;2.319;3.223;5.307;6.278;1.63;2.499;5.039;1.216;2.037;0.306;0.476;0.389;0.673;0.798;0.626;0.297;0.455;-43.381;-79.391;80.321;-41.648;-25.488;-94.549;-28.992;-32.328
2025-08-01T11:53:24.630343;0.58;0.11825920952327952;0.34019691369381827;5.682;7.292;29.938;2.937;3.609;5.978;3.655;3.585;5.753;10.044;20.638;3.81;5.924;6.862;3.886;5.164;3.204;6.201;2.572;1.579;2.014;6.832;1.911;2.319;3.223;5.307;6.278;1.63;2.499;5.039;1.216;2.037;0.306;0.476;0.389;0.673;0.798;0.626;0.297;0.455;-41.406;-79.818;-224.522;-16.962;-34.072;-100.449;-20.502;-24.267
2025-08-01T11:53:24.632340;0.58;0.11825920952327952;0.34019691369381827;6.114;15.199;16.017;4.227;9.422;13.384;3.815;5.42;4.048;8.368;20.521;2.778;5.339;6.27;2.186;4.098;3.839;10.595;6.312;4.342;5.191;8.086;2.898;2.535;3.532;4.435;6.39;1.869;2.751;5.06;1.679;2.667;0.627;0.765;0.963;0.346;0.47;0.974;0.302;0.544;-41.406;-79.818;-224.522;-16.962;-34.072;-100.449;-20.502;-24.267
2025-08-01T11:53:25.462578;1.41;0.11825920952327952;0.34019691369381827;6.114;15.199;16.017;4.227;9.422;13.384;3.815;5.42;4.048;8.368;20.521;2.778;5.339;6.27;2.186;4.098;3.839;10.595;6.312;4.342;5.191;8.086;2.898;2.535;3.532;4.435;6.39;1.869;2.751;5.06;1.679;2.667;0.627;0.765;0.963;0.346;0.47;0.974;0.302;0.544;-2.089;1.31;-172.225;-0.457;-10.581;9.648;7.086;11.389
2025-08-01T11:53:25.464121;1.41;0.06764938485200345;0.34019691369381827;6.114;15.199;16.017;4.227;9.422;13.384;3.815;5.42;4.048;8.368;20.521;2.778;5.339;6.27;2.186;4.098;3.839;10.595;6.312;4.342;5.191;8.086;2.898;2.535;3.532;4.435;6.39;1.869;2.751;5.06;1.679;2.667;0.627;0.765;0.963;0.346;0.47;0.974;0.302;0.544;-2.089;1.31;-172.225;-0.457;-10.581;9.648;7.086;11.389
2025-08-01T11:53:25.466149;1.41;0.06764938485200345;0.33278054106279514;6.114;15.199;16.017;4.227;9.422;13.384;3.815;5.42;4.048;8.368;20.521;2.778;5.339;6.27;2.186;4.098;3.839;10.595;6.312;4.342;5.191;8.086;2.898;2.535;3.532;4.435;6.39;1.869;2.751;5.06;1.679;2.667;0.627;0.765;0.963;0.346;0.47;0.974;0.302;0.544;-2.089;1.31;-172.225;-0.457;-10.581;9.648;7.086;11.389
2025-08-01T11:53:25.494195;1.44;0.06764938485200345;0.33278054106279514;6.335;15.07;36.223;6.509;5.196;13.042;2.379;5.273;11.161;22.874;56.305;10.177;11.42;21.062;3.139;8.572;12.931;22.959;44.112;6.067;13.158;22.904;3.738;9.331;6.619;9.582;8.961;2.357;5.052;10.911;1.845;5.089;0.387;0.694;2.916;0.285;0.462;0.711;0.211;0.264;-2.089;1.31;-172.225;-0.457;-10.581;9.648;7.086;11.389
