timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1751571294.971;77;766.6;6.6;25.096;good;100
1751571294.975;77;718.8;6.6;25.096;good;100
1751571294.982;77;718.8;6.6;25.096;good;100
1751571295.995;78;718.8;6.6;25.096;good;100
1751571295.25;78;754.9;6.2;26.008;good;100
1751571296.005;78;779.3;6.2;26.008;good;100
1751571295.253;78;754.9;6.2;26.008;good;100
1751571296.007;78;779.3;6.2;26.008;good;100
1751571296.273;78;754.9;6.2;26.008;good;100
1751571297.028;78;779.3;6.2;26.008;good;100
1751571297.037;78;751.0;6.2;26.008;good;100
1751571297.045;78;751.0;6.2;26.008;good;100
1751571298.067;78;751.0;6.2;26.008;good;100
1751571298.07;78;710.9;6.2;26.008;good;100
1751571298.071;78;710.9;6.2;26.008;good;100
1751571299.088;79;710.9;6.2;26.008;good;100
1751571298.36;79;747.1;6.5;24.891;fair;100
1751571299.107;79;762.7;6.5;24.891;fair;100
1751571298.368;79;747.1;6.5;24.891;fair;100
1751571299.115;79;762.7;6.5;24.891;fair;100
1751571299.383;79;747.1;6.5;24.891;fair;100
1751571300.13;79;762.7;6.5;24.891;fair;100
1751571300.131;79;738.3;6.5;24.891;fair;100
1751571300.132;79;738.3;6.5;24.891;fair;100
1751571300.779;79;738.3;6.5;24.891;fair;100
1751571301.162;79;738.3;6.5;24.891;fair;100
1751571301.17;79;702.1;6.5;24.891;fair;100
1751571301.178;79;702.1;6.5;24.891;fair;100
1751571302.202;80;702.1;6.5;24.891;fair;100
1751571301.504;80;721.7;6.2;27.428;fair;100
1751571302.226;80;743.2;6.2;27.428;fair;100
1751571301.512;80;721.7;6.2;27.428;fair;100
1751571302.234;80;743.2;6.2;27.428;fair;100
1751571302.521;80;721.7;6.2;27.428;fair;100
1751571303.243;80;743.2;6.2;27.428;fair;100
1751571302.49;80;754.9;6.2;27.428;fair;100
1751571303.245;80;735.4;6.2;27.428;fair;100
1751571302.491;80;754.9;6.2;27.428;fair;100
1751571303.246;80;735.4;6.2;27.428;fair;100
1751571303.492;81;754.9;6.2;27.428;fair;100
1751571304.247;81;735.4;6.2;27.428;fair;100
1751571303.561;81;699.2;6.2;27.428;fair;100
1751571304.26;81;739.3;6.2;27.428;fair;100
1751571303.571;81;699.2;6.2;27.428;fair;100
1751571304.27;81;739.3;6.2;27.428;fair;100
1751571304.589;81;699.2;6.2;27.428;fair;100
1751571305.288;81;739.3;6.2;27.428;fair;100
1751571305.299;81;746.1;6.1;28.683;poor;100
1751571305.302;81;746.1;6.1;28.683;poor;100
1751571306.322;81;746.1;6.1;28.683;poor;100
1751571305.573;81;753.9;6.1;28.683;poor;100
1751571306.327;81;726.6;6.1;28.683;poor;100
1751571305.578;81;753.9;6.1;28.683;poor;100
1751571306.332;81;726.6;6.1;28.683;poor;100
1751571306.602;81;753.9;6.1;28.683;poor;100
