timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1753190213.508;74;702.1;7.0;58.566;poor;100
1753190213.523;74;693.4;7.0;58.566;poor;100
1753190213.53;74;693.4;7.0;58.566;poor;100
1753190214.545;76;693.4;7.0;58.566;poor;100
1753190213.83;76;719.7;7.0;58.566;poor;100
1753190214.55;76;778.3;7.0;58.566;poor;100
1753190213.833;76;719.7;7.0;58.566;poor;100
1753190214.553;76;778.3;7.0;58.566;poor;100
1753190214.856;77;719.7;7.0;58.566;poor;100
1753190215.576;77;778.3;7.0;58.566;poor;100
1753190215.626;77;764.6;7.0;66.548;poor;100
1753190215.657;77;764.6;7.0;66.548;poor;100
1753190216.669;77;764.6;7.0;66.548;poor;100
1753190216.672;77;715.8;7.0;66.548;poor;100
1753190216.675;77;715.8;7.0;66.548;poor;100
1753190217.674;77;715.8;7.0;66.548;poor;100
1753190217.679;77;769.5;7.0;66.548;poor;100
1753190217.682;77;769.5;7.0;66.548;poor;100
