timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1755865696.54;80;766.6;7.6;46.355;fair;100
1755865695.839;80;722.7;7.6;46.355;fair;100
1755865696.561;80;705.1;7.6;46.355;fair;100
1755865695.853;80;722.7;7.6;46.355;fair;100
1755865696.576;80;705.1;7.6;46.355;fair;100
1755865696.86;80;722.7;7.6;46.355;fair;100
1755865697.583;80;705.1;7.6;46.355;fair;100
1755865697.596;80;716.8;7.6;46.355;fair;100
1755865697.605;80;716.8;7.6;46.355;fair;100
1755865698.612;80;716.8;7.6;46.355;fair;100
1755865698.621;80;693.4;7.7;49.529;fair;100
1755865698.624;80;693.4;7.7;49.529;fair;100
1755865699.642;82;693.4;7.7;49.529;fair;100
1755865698.988;82;678.7;7.7;49.529;fair;100
1755865699.667;82;691.4;7.7;49.529;fair;100
1755865699.01;82;678.7;7.7;49.529;fair;100
1755865699.689;82;691.4;7.7;49.529;fair;100
1755865700.013;82;678.7;7.7;49.529;fair;100
1755865700.692;82;691.4;7.7;49.529;fair;100
1755865700.696;82;710.0;7.7;49.529;fair;100
1755865700.7;82;710.0;7.7;49.529;fair;100
1755865701.717;83;710.0;7.7;49.529;fair;100
1755865701.019;83;705.1;7.7;48.58;fair;100
1755865701.724;83;680.7;7.7;48.58;fair;100
1755865701.023;83;705.1;7.7;48.58;fair;100
1755865701.728;83;680.7;7.7;48.58;fair;100
1755865702.045;83;705.1;7.7;48.58;fair;100
1755865702.75;83;680.7;7.7;48.58;fair;100
1755865702.756;83;690.4;7.7;48.58;fair;100
1755865702.76;83;690.4;7.7;48.58;fair;100
1755865703.775;84;690.4;7.7;48.58;fair;100
1755865703.068;84;712.9;7.7;48.58;fair;100
1755865703.78;84;731.5;7.7;48.58;fair;100
1755865703.071;84;712.9;7.7;48.58;fair;100
1755865703.783;84;731.5;7.7;48.58;fair;100
1755865705.09;84;712.9;7.7;48.58;fair;100
1755865705.803;84;731.5;7.7;48.58;fair;100
1755865703.726;84;698.2;7.8;48.743;poor;100
1755865704.407;84;707.0;7.8;48.743;poor;100
1755865705.075;84;745.1;7.8;48.743;poor;100
1755865705.821;84;733.4;7.8;48.743;poor;100
1755865703.735;84;698.2;7.8;48.743;poor;100
1755865704.416;84;707.0;7.8;48.743;poor;100
1755865705.085;84;745.1;7.8;48.743;poor;100
1755865705.83;84;733.4;7.8;48.743;poor;100
1755865704.769;84;698.2;7.8;48.743;poor;100
1755865705.45;84;707.0;7.8;48.743;poor;100
1755865706.119;84;745.1;7.8;48.743;poor;100
1755865706.864;84;733.4;7.8;48.743;poor;100
1755865706.898;84;706.0;7.8;48.743;poor;100
1755865706.928;84;706.0;7.8;48.743;poor;100
1755865707.943;84;706.0;7.8;48.743;poor;100
1755865707.964;84;728.5;7.8;48.743;poor;100
1755865707.974;84;728.5;7.8;48.743;poor;100
1755865709.007;83;728.5;7.8;48.743;poor;100
1755865708.275;83;769.5;7.7;39.045;poor;100
1755865709.045;83;781.2;7.7;39.045;poor;100
1755865708.295;83;769.5;7.7;39.045;poor;100
1755865709.064;83;781.2;7.7;39.045;poor;100
1755865709.313;82;769.5;7.7;39.045;poor;100
1755865710.082;82;781.2;7.7;39.045;poor;100
1755865710.086;82;735.4;7.7;39.045;poor;100
1755865710.089;82;735.4;7.7;39.045;poor;100
1755865710.747;82;735.4;7.7;39.045;poor;100
1755865711.106;82;735.4;7.7;39.045;poor;100
1755865711.149;82;767.6;7.7;39.045;poor;100
1755865711.168;82;767.6;7.7;39.045;poor;100
1755865712.186;82;767.6;7.7;39.045;poor;100
1755865712.193;82;812.5;7.5;29.875;poor;100
1755865712.197;82;812.5;7.5;29.875;poor;100
1755865713.225;80;812.5;7.5;29.875;poor;100
1755865712.402;80;836.9;7.5;29.875;poor;100
1755865713.239;80;788.1;7.5;29.875;poor;100
