timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1753191138.158;68;877.0;8.2;51.256;poor;100
1753191139.177;67;877.0;8.2;51.256;poor;100
1753191137.337;67;935.5;8.2;51.617;poor;100
1753191138.244;67;963.9;8.2;51.617;poor;100
1753191139.208;67;908.2;8.2;51.617;poor;100
1753191137.35;67;935.5;8.2;51.617;poor;100
1753191138.257;67;963.9;8.2;51.617;poor;100
1753191139.221;67;908.2;8.2;51.617;poor;100
1753191138.371;66;935.5;8.2;51.617;poor;100
1753191139.278;66;963.9;8.2;51.617;poor;100
1753191140.242;66;908.2;8.2;51.617;poor;100
1753191140.272;66;877.0;8.2;51.617;poor;100
1753191140.289;66;877.0;8.2;51.617;poor;100
1753191141.313;67;877.0;8.2;51.617;poor;100
1753191141.363;67;1003.9;8.2;51.617;poor;100
1753191141.377;67;1003.9;8.2;51.617;poor;100
1753191143.413;66;1003.9;8.2;51.617;poor;100
1753191142.477;66;970.7;8.2;53.417;poor;100
1753191143.447;66;852.5;8.2;53.417;poor;100
1753191142.503;66;970.7;8.2;53.417;poor;100
1753191143.473;66;852.5;8.2;53.417;poor;100
1753191143.546;66;970.7;8.2;53.417;poor;100
1753191144.516;66;852.5;8.2;53.417;poor;100
1753191144.563;66;925.8;8.2;53.417;poor;100
1753191144.59;66;925.8;8.2;53.417;poor;100
1753191145.621;66;925.8;8.2;53.417;poor;100
1753191145.668;66;975.6;8.2;53.417;poor;100
1753191145.693;66;975.6;8.2;53.417;poor;100
1753191146.724;66;975.6;8.2;53.417;poor;100
1753191146.77;66;929.7;8.2;50.398;poor;100
1753191146.814;66;929.7;8.2;50.398;poor;100
1753191147.848;66;929.7;8.2;50.398;poor;100
1753191147.042;66;837.9;8.2;50.398;poor;100
1753191147.88;66;904.3;8.2;50.398;poor;100
1753191147.071;66;837.9;8.2;50.398;poor;100
1753191147.909;66;904.3;8.2;50.398;poor;100
1753191148.09;66;837.9;8.2;50.398;poor;100
1753191148.928;66;904.3;8.2;50.398;poor;100
1753191148.977;66;833.0;8.2;50.398;poor;100
1753191149.02;66;833.0;8.2;50.398;poor;100
1753191150.048;66;833.0;8.2;50.398;poor;100
1753191150.106;66;786.1;8.3;54.981;fair;100
1753191150.135;66;786.1;8.3;54.981;fair;100
1753191151.202;68;786.1;8.3;54.981;fair;100
1753191150.351;68;853.5;8.3;54.981;fair;100
1753191151.205;68;899.4;8.3;54.981;fair;100
1753191150.359;68;853.5;8.3;54.981;fair;100
1753191151.213;68;899.4;8.3;54.981;fair;100
1753191150.64;68;853.5;8.3;54.981;fair;100
1753191151.494;68;899.4;8.3;54.981;fair;100
1753191151.407;68;853.5;8.3;54.981;fair;100
1753191152.261;68;899.4;8.3;54.981;fair;100
1753191152.304;68;834.0;8.3;54.981;fair;100
1753191152.341;68;834.0;8.3;54.981;fair;100
1753191153.367;68;834.0;8.3;54.981;fair;100
1753191153.389;68;867.2;8.3;43.181;good;100
1753191153.397;68;867.2;8.3;43.181;good;100
1753191154.428;68;867.2;8.3;43.181;good;100
1753191154.466;68;955.1;8.3;43.181;good;100
1753191154.494;68;955.1;8.3;43.181;good;100
1753191156.528;67;955.1;8.3;43.181;good;100
1753191155.603;67;967.8;8.2;33.065;good;100
1753191156.571;67;874.0;8.2;33.065;good;100
1753191155.627;67;967.8;8.2;33.065;good;100
1753191156.595;67;874.0;8.2;33.065;good;100
1753191156.658;67;967.8;8.2;33.065;good;100
1753191157.625;67;874.0;8.2;33.065;good;100
1753191156.739;67;940.4;8.2;33.065;good;100
1753191157.679;67;958.0;8.2;33.065;good;100
1753191156.771;67;940.4;8.2;33.065;good;100
1753191157.711;67;958.0;8.2;33.065;good;100
1753191157.804;67;940.4;8.2;33.065;good;100
1753191158.745;67;958.0;8.2;33.065;good;100
1753191158.771;67;878.9;8.2;33.065;good;100
1753191158.795;67;878.9;8.2;33.065;good;100
1753191159.808;67;878.9;8.2;33.065;good;100
