timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1755903970.339;110;564.9;11.7;27.914;poor;90
1755903970.364;110;530.2;11.7;27.914;poor;90
1755903970.382;110;530.2;11.7;27.914;poor;90
1755903971.406;111;530.2;11.7;27.914;poor;90
1755903971.438;111;545.4;11.4;32.531;good;90
1755903971.454;111;545.4;11.4;32.531;good;90
1755903972.487;111;545.4;11.4;32.531;good;90
1755903971.508;111;502.9;11.4;32.531;good;90
1755903971.973;111;541.1;11.4;32.531;good;90
1755903972.514;111;532.8;11.4;32.531;good;90
1755903971.527;111;502.9;11.4;32.531;good;90
1755903971.992;111;541.1;11.4;32.531;good;90
1755903972.533;111;532.8;11.4;32.531;good;90
1755903972.567;111;502.9;11.4;32.531;good;90
1755903973.032;111;541.1;11.4;32.531;good;90
1755903973.573;111;532.8;11.4;32.531;good;90
1755903973.6;111;590.0;11.4;32.531;good;90
1755903973.617;111;590.0;11.4;32.531;good;90
1755903975.168;111;590.0;11.4;32.531;good;90
1755903975.255;111;492.9;11.6;40.976;fair;90
1755903975.385;111;492.9;11.6;40.976;fair;90
1755903976.415;110;492.9;11.6;40.976;fair;90
1755903976.468;110;578.1;11.6;40.976;fair;90
1755903976.572;110;578.1;11.6;40.976;fair;90
1755903977.594;110;578.1;11.6;40.976;fair;90
1755903976.486;110;569.8;11.6;40.976;fair;90
1755903977.079;110;546.7;11.6;40.976;fair;90
1755903977.625;110;584.9;11.6;40.976;fair;90
1755903976.531;110;569.8;11.6;40.976;fair;90
1755903977.124;110;546.7;11.6;40.976;fair;90
1755903977.671;110;584.9;11.6;40.976;fair;90
1755903977.543;110;569.8;11.6;40.976;fair;90
1755903978.136;110;546.7;11.6;40.976;fair;90
1755903978.683;110;584.9;11.6;40.976;fair;90
1755903978.698;110;516.3;11.0;38.675;poor;90
1755903978.708;110;516.3;11.0;38.675;poor;90
1755903979.739;110;516.3;11.0;38.675;poor;90
1755903979.772;110;579.8;11.0;38.675;poor;90
1755903979.797;110;579.8;11.0;38.675;poor;90
1755903980.824;109;579.8;11.0;38.675;poor;90
1755903980.845;109;546.9;11.0;38.675;poor;90
1755903980.863;109;546.9;11.0;38.675;poor;90
1755903981.896;109;546.9;11.0;38.675;poor;90
1755903981.94;109;570.3;11.3;37.738;fair;90
1755903981.961;109;570.3;11.3;37.738;fair;90
1755903982.995;109;570.3;11.3;37.738;fair;90
1755903983.04;109;549.6;11.3;37.738;fair;90
1755903983.069;109;549.6;11.3;37.738;fair;90
1755903984.145;109;549.6;11.3;37.738;fair;90
1755903984.18;109;538.7;11.3;37.738;fair;90
1755903984.208;109;538.7;11.3;37.738;fair;90
1755903985.226;109;538.7;11.3;37.738;fair;90
1755903985.243;109;558.8;11.6;28.263;poor;90
1755903985.254;109;558.8;11.6;28.263;poor;90
1755903986.278;109;558.8;11.6;28.263;poor;90
1755903986.294;109;573.3;11.6;28.263;poor;90
1755903986.309;109;573.3;11.6;28.263;poor;90
1755903987.33;109;573.3;11.6;28.263;poor;90
1755903987.368;109;554.1;11.6;28.263;poor;90
1755903987.388;109;554.1;11.6;28.263;poor;90
1755903988.419;108;554.1;11.6;28.263;poor;90
1755903988.454;108;540.3;10.5;20.79;poor;90
1755903988.481;108;540.3;10.5;20.79;poor;90
1755903989.521;105;540.3;10.5;20.79;poor;90
1755903988.995;105;562.1;10.5;20.79;poor;90
1755903989.557;105;571.5;10.5;20.79;poor;90
1755903989.016;105;562.1;10.5;20.79;poor;90
1755903989.578;105;571.5;10.5;20.79;poor;90
1755903990.042;104;562.1;10.5;20.79;poor;90
1755903990.604;104;571.5;10.5;20.79;poor;90
1755903990.617;104;557.5;10.5;20.79;poor;90
1755903990.629;104;557.5;10.5;20.79;poor;90
1755903990.8;104;557.5;10.5;20.79;poor;90
1755903991.681;102;557.5;10.5;20.79;poor;90
1755903991.71;102;590.5;10.0;21.556;fair;90
1755903991.735;102;590.5;10.0;21.556;fair;90
1755903992.777;101;590.5;10.0;21.556;fair;90
1755903992.809;101;653.8;10.0;21.556;fair;90
1755903992.828;101;653.8;10.0;21.556;fair;90
