timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1753190162.973;68;834.0;10.4;33.56;fair;100
1753190162.043;68;934.6;9.6;31.245;fair;100
1753190162.977;68;941.4;9.6;31.245;fair;100
1753190162.048;68;934.6;9.6;31.245;fair;100
1753190162.983;68;941.4;9.6;31.245;fair;100
1753190163.081;68;934.6;9.6;31.245;fair;100
1753190164.015;68;941.4;9.6;31.245;fair;100
1753190164.034;68;908.2;9.6;31.245;fair;100
1753190164.063;68;908.2;9.6;31.245;fair;100
