timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1755903969.252;102;605.5;9.7;34.425;poor;100
1755903969.858;102;654.3;9.7;34.425;poor;100
1755903969.195;102;672.9;9.9;37.74;good;100
1755903969.868;102;623.0;9.9;37.74;good;100
1755903969.199;102;672.9;9.9;37.74;good;100
1755903969.872;102;623.0;9.9;37.74;good;100
1755903970.198;100;672.9;9.9;37.74;good;100
1755903970.871;100;623.0;9.9;37.74;good;100
1755903970.876;100;591.8;9.9;37.74;good;100
1755903970.879;100;591.8;9.9;37.74;good;100
1755903971.907;100;591.8;9.9;37.74;good;100
1755903971.318;100;613.3;9.9;37.74;good;100
1755903971.932;100;634.8;9.9;37.74;good;100
1755903971.335;100;613.3;9.9;37.74;good;100
1755903971.948;100;634.8;9.9;37.74;good;100
1755903972.354;99;613.3;9.9;37.74;good;100
1755903972.968;99;634.8;9.9;37.74;good;100
1755903972.384;99;616.2;9.9;37.346;fair;100
1755903973.001;99;588.9;9.9;37.346;fair;100
1755903972.399;99;616.2;9.9;37.346;fair;100
1755903973.015;99;588.9;9.9;37.346;fair;100
1755903973.434;99;616.2;9.9;37.346;fair;100
1755903974.05;99;588.9;9.9;37.346;fair;100
1755903974.066;99;563.5;9.9;37.346;fair;100
1755903974.087;99;563.5;9.9;37.346;fair;100
1755903975.246;101;563.5;9.9;37.346;fair;100
1755903974.823;101;553.7;9.9;37.346;fair;100
1755903975.376;101;560.5;9.9;37.346;fair;100
1755903974.869;101;553.7;9.9;37.346;fair;100
1755903975.422;101;560.5;9.9;37.346;fair;100
1755903975.935;105;553.7;9.9;37.346;fair;100
1755903976.489;105;560.5;9.9;37.346;fair;100
1755903974.856;105;576.2;10.0;35.427;fair;100
1755903975.463;105;560.5;10.0;35.427;fair;100
1755903976.038;105;545.9;10.0;35.427;fair;100
1755903976.584;105;537.1;10.0;35.427;fair;100
1755903974.89;105;576.2;10.0;35.427;fair;100
1755903975.497;105;560.5;10.0;35.427;fair;100
1755903976.072;105;545.9;10.0;35.427;fair;100
1755903976.618;105;537.1;10.0;35.427;fair;100
1755903975.959;106;576.2;10.0;35.427;fair;100
1755903976.566;106;560.5;10.0;35.427;fair;100
1755903977.141;106;545.9;10.0;35.427;fair;100
1755903977.687;106;537.1;10.0;35.427;fair;100
1755903977.747;106;544.0;10.0;35.427;fair;100
1755903977.794;106;544.0;10.0;35.427;fair;100
1755903978.838;107;544.0;10.0;35.427;fair;100
1755903978.281;107;583.0;10.0;35.427;fair;100
1755903978.864;107;592.8;10.0;35.427;fair;100
1755903978.308;107;583.0;10.0;35.427;fair;100
