timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1754577907.226;65;972.7;8.9;33.536;good;100
1754577905.542;65;843.8;9.0;25.955;good;100
1754577906.306;65;923.8;9.0;25.955;good;100
1754577907.23;65;986.3;9.0;25.955;good;100
1754577905.551;65;843.8;9.0;25.955;good;100
1754577906.314;65;923.8;9.0;25.955;good;100
1754577907.238;65;986.3;9.0;25.955;good;100
1754577906.559;65;843.8;9.0;25.955;good;100
1754577907.322;65;923.8;9.0;25.955;good;100
1754577908.246;65;986.3;9.0;25.955;good;100
1754577908.251;65;936.5;9.0;25.955;good;100
1754577908.254;65;936.5;9.0;25.955;good;100
1754577909.41;64;936.5;9.0;25.955;good;100
1754577909.428;64;898.4;9.0;25.955;good;100
1754577909.475;64;898.4;9.0;25.955;good;100
1754577910.492;65;898.4;9.0;25.955;good;100
1754577909.593;65;904.3;10.6;25.206;fair;100
1754577910.498;65;951.2;10.6;25.206;fair;100
1754577909.599;65;904.3;10.6;25.206;fair;100
1754577910.503;65;951.2;10.6;25.206;fair;100
1754577910.627;65;904.3;10.6;25.206;fair;100
1754577911.531;65;951.2;10.6;25.206;fair;100
1754577911.537;65;906.2;10.6;25.206;fair;100
1754577911.543;65;906.2;10.6;25.206;fair;100
1754577912.545;65;906.2;10.6;25.206;fair;100
1754577912.55;65;886.7;10.6;25.206;fair;100
1754577912.557;65;886.7;10.6;25.206;fair;100
1754577913.572;65;886.7;10.6;25.206;fair;100
1754577913.586;65;917.0;10.4;25.224;good;100
1754577913.594;65;917.0;10.4;25.224;good;100
1754577914.61;65;917.0;10.4;25.224;good;100
1754577914.614;65;986.3;10.4;25.224;good;100
1754577914.617;65;986.3;10.4;25.224;good;100
1754577915.633;65;986.3;10.4;25.224;good;100
1754577915.636;65;903.3;10.4;25.224;good;100
1754577915.639;65;903.3;10.4;25.224;good;100
1754577916.646;65;903.3;10.4;25.224;good;100
1754577915.741;65;910.2;10.4;25.545;good;100
1754577916.651;65;910.2;10.4;25.545;good;100
1754577915.744;65;910.2;10.4;25.545;good;100
1754577916.654;65;910.2;10.4;25.545;good;100
1754577916.765;65;910.2;10.4;25.545;good;100
1754577917.675;65;910.2;10.4;25.545;good;100
1754577917.683;65;805.7;10.4;25.545;good;100
1754577917.69;65;805.7;10.4;25.545;good;100
1754577918.696;66;805.7;10.4;25.545;good;100
1754577918.703;66;728.5;10.4;25.545;good;100
