timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1753190046.815;70;922.9;;;;100
1753190046.841;70;847.7;;;;100
1753190047.865;70;847.7;;;;100
1753190047.917;70;874.0;;;;100
1753190048.947;70;874.0;;;;100
1753190048.996;70;919.9;;;;100
1753190050.032;69;919.9;;;;100
1753190049.242;69;828.1;;;;100
1753190050.07;69;762.7;;;;100
1753190050.323;70;828.1;;;;100
1753190051.151;70;762.7;;;;100
1753190051.176;70;788.1;;;;100
1753190052.204;71;788.1;;;;100
1753190052.239;71;785.2;;;;100
1753190053.269;72;785.2;;;;100
1753190052.563;72;776.4;;;;100
1753190053.339;72;703.1;;;;100
1753190053.59;73;776.4;;;;100
1753190054.366;73;703.1;;;;100
1753190054.424;73;674.8;;;;100
1753190055.454;78;674.8;;;;100
1753190054.846;78;656.2;;;;100
1753190055.502;78;658.2;;;;100
1753190055.882;82;656.2;;;;100
1753190056.538;82;658.2;;;;100
1753190055.231;82;667.0;;;;100
1753190055.917;82;648.4;;;;100
1753190056.565;82;653.3;;;;100
1753190056.307;84;667.0;;;;100
1753190056.992;84;648.4;;;;100
1753190057.641;84;653.3;;;;100
1753190057.009;84;651.4;;;;100
1753190057.661;84;645.5;;;;100
1753190058.011;85;651.4;;;;100
1753190058.662;85;645.5;;;;100
1753190058.667;85;648.4;;;;100
1753190059.705;87;648.4;;;;100
1753190059.085;87;655.3;;;;100
1753190059.74;87;669.0;;;;100
1753190060.108;87;655.3;;;;100
1753190060.763;87;669.0;;;;100
1753190060.795;87;670.9;;;;100
1753190061.812;88;670.9;;;;100
1753190061.172;88;667.0;;;;100
1753190061.839;88;649.4;;;;100
1753190062.206;88;667.0;;;;100
1753190062.873;88;649.4;;;;100
1753190062.923;88;642.6;;;;100
1753190063.948;89;642.6;;;;100
1753190063.326;89;648.4;;;;100
1753190063.974;89;663.1;;;;100
1753190064.341;90;648.4;;;;100
1753190064.989;90;663.1;;;;100
1753190065.033;90;682.6;;;;100
1753190066.066;90;682.6;;;;100
1753190066.137;90;699.2;;;;100
1753190067.155;89;699.2;;;;100
1753190066.495;89;687.5;;;;100
1753190067.182;89;691.4;;;;100
1753190067.53;89;687.5;;;;100
1753190068.218;89;691.4;;;;100
1753190068.245;89;792.0;;;;100
1753190069.282;88;792.0;;;;100
1753190069.3;88;888.7;;;;100
1753190070.296;82;888.7;;;;100
1753190070.3;82;901.4;;;;100
1753190070.894;82;901.4;;;;100
1753190072.321;79;901.4;;;;100
1753190070.773;79;786.1;;;;100
1753190071.591;79;753.9;;;;100
1753190072.345;79;815.4;;;;100
1753190071.79;79;786.1;;;;100
1753190072.609;79;753.9;;;;100
1753190073.363;79;815.4;;;;100
1753190073.406;79;891.6;;;;100
1753190074.434;78;891.6;;;;100
1753190074.463;78;814.5;;;;100
1753190075.507;77;814.5;;;;100
1753190075.543;77;749.0;;;;100
1753190076.569;77;749.0;;;;100
1753190075.795;77;798.8;;;;100
1753190076.594;77;845.7;;;;100
1753190076.824;77;798.8;;;;100
1753190077.623;77;845.7;;;;100
1753190077.65;77;825.2;;;;100
1753190078.699;76;825.2;;;;100
1753190078.735;76;742.2;;;;100
1753190079.75;77;742.2;;;;100
1753190079.773;77;786.1;;;;100
1753190080.789;77;786.1;;;;100
1753190080.823;77;867.2;;;;100
1753190081.858;75;867.2;;;;100
1753190080.101;75;899.4;;;;100
1753190081.1;75;799.8;;;;100
1753190081.9;75;878.9;;;;100
1753190081.13;75;899.4;;;;100
1753190082.129;75;799.8;;;;100
1753190082.929;75;878.9;;;;100
1753190082.952;75;950.2;;;;100
1753190083.959;74;950.2;;;;100
1753190083.973;74;803.7;;;;100
1753190084.992;73;803.7;;;;100
1753190085.04;73;738.3;;;;100
1753190086.076;73;738.3;;;;100
1753190087.086;73;738.3;;;;100
1753190088.09;73;738.3;;;;100
1753190089.126;73;738.3;;;;100
1753190090.164;73;738.3;;;;100
1753190092.196;74;738.3;;;;100
1753190092.256;74;857.4;;;;100
1753190093.281;73;857.4;;;;100
1753190093.305;73;1331.0;;;;100
1753190094.343;73;1331.0;;;;100
1753190094.384;73;741.2;;;;100
1753190095.417;72;741.2;;;;100
1753190095.477;72;748.0;18.9;72.66;fair;100
1753190095.493;72;748.0;18.9;72.66;fair;100
1753190096.522;74;748.0;18.9;72.66;fair;100
1753190095.802;74;772.5;18.9;72.66;fair;100
1753190096.575;74;745.1;18.9;72.66;fair;100
1753190095.837;74;772.5;18.9;72.66;fair;100
1753190096.609;74;745.1;18.9;72.66;fair;100
1753190096.832;76;772.5;18.9;72.66;fair;100
1753190097.604;76;745.1;18.9;72.66;fair;100
1753190096.875;76;734.4;18.9;72.66;fair;100
1753190097.61;76;778.3;18.9;72.66;fair;100
1753190096.879;76;734.4;18.9;72.66;fair;100
