timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1753190223.1;72;902.3;7.1;67.947;poor;100
1753190224.002;72;851.6;7.1;67.947;poor;100
1753190224.047;72;789.1;7.1;67.947;poor;100
1753190224.084;72;789.1;7.1;67.947;poor;100
1753190225.102;73;789.1;7.1;67.947;poor;100
1753190224.284;73;834.0;7.3;61.545;poor;100
1753190225.118;73;832.0;7.3;61.545;poor;100
1753190224.308;73;834.0;7.3;61.545;poor;100
1753190225.142;73;832.0;7.3;61.545;poor;100
1753190225.349;73;834.0;7.3;61.545;poor;100
1753190226.183;73;832.0;7.3;61.545;poor;100
1753190226.237;73;863.3;7.3;61.545;poor;100
1753190226.28;73;863.3;7.3;61.545;poor;100
1753190227.314;72;863.3;7.3;61.545;poor;100
1753190227.361;72;823.2;7.3;61.545;poor;100
1753190227.388;72;823.2;7.3;61.545;poor;100
1753190228.403;72;823.2;7.3;61.545;poor;100
1753190228.451;72;885.7;7.3;60.454;excellent;100
1753190228.471;72;885.7;7.3;60.454;excellent;100
